date,ticker,bank_name,open,high,low,close,volume,pct_change
2024-01-02,BID,BIDV,35473.13626893266,35636.606747148995,34900.9895951755,35146.1953125,1527020,
2024-01-03,BID,BIDV,35473.1371603515,36045.28384848637,35146.19619570301,35800.078125,1886753,1.8604654264452902
2024-01-04,BID,BIDV,35881.81268692307,36780.90032268679,35636.60696807841,35677.47265625,3960572,-0.3424726290314539
2024-01-05,BID,BIDV,35718.34460175378,36740.037097055734,35718.34460175378,36372.2265625,1609058,1.9473181661265881
2024-01-08,BID,BIDV,36617.43146377166,38006.934461981655,36494.83053056012,37925.19921875,2418790,4.269666179444531
2024-01-09,BID,BIDV,38415.60777745573,38415.60777745573,37639.12109375,37639.12109375,2106731,-0.7543220098856218
2024-01-10,BID,BIDV,37639.123090760004,39069.4917468364,37598.2535384258,38742.55078125,2652078,2.931603224080659
2024-01-11,BID,BIDV,38579.08028330144,38619.945972347785,37761.724006384735,38006.93359375,4096576,-1.8987319437315242
2024-01-12,BID,BIDV,37516.51866405379,38579.08067587644,36821.771037021856,37598.25390625,3720145,-1.0752766636432987
2024-01-15,BID,BIDV,37639.12221983476,38415.60892677137,37639.12221983476,38088.66796875,1616197,1.304353291838578
2024-01-16,BID,BIDV,37639.12350877715,38374.74068951626,37639.12350877715,38333.875,1368147,0.6437794869885716
2024-01-17,BID,BIDV,38047.798189204375,38415.60869640866,37843.45816003051,38293.00390625,1770230,-0.10661873799608923
2024-01-18,BID,BIDV,38293.00416739219,39110.35656311828,38129.533688246964,38824.28515625,2756743,1.387410742966777
2024-01-19,BID,BIDV,39151.227256460894,40745.06640625,38579.08056276487,40745.06640625,3695340,4.947370549823993
2024-01-22,BID,BIDV,40826.80010242873,41031.13626794771,39805.1076850188,40704.1953125,2862134,-0.10030930700294372
2024-01-23,BID,BIDV,40458.989144199375,40704.19485804749,39764.241553265514,40377.25390625,2640462,-0.8032130441099739
2024-01-24,BID,BIDV,39641.637169861024,40213.783841354234,39600.77148210449,39968.578125,2261127,-1.0121435751893504
2024-01-25,BID,BIDV,39968.57854193688,40663.33001049042,39559.90234375,39559.90234375,1632169,-1.0224926690458824
2024-01-26,BID,BIDV,39559.90345646407,40009.44921875,39559.90345646407,40009.44921875,983004,1.1363700321950443
2024-01-29,BID,BIDV,39968.57985966422,40213.78558666055,39641.63889033578,39805.109375,1191245,-0.5107289596334663
2024-01-30,BID,BIDV,39886.844855736315,39968.58009855696,39396.433398812456,39600.7734375,1356773,-0.5133409773478315
2024-01-31,BID,BIDV,39641.63976559412,39886.84549800441,38824.28732422647,38987.7578125,2025056,-1.5479890208899394
2024-02-01,BID,BIDV,38824.28534405584,39192.09199227593,38538.21007253201,38619.9453125,1902846,-0.9434051113400344
2024-02-02,BID,BIDV,38660.81596921739,38824.28645382608,38170.40451539131,38333.875,2399188,-0.74073204968369
2024-02-05,BID,BIDV,38497.344047442035,40377.25455026195,38456.47449617967,39764.2421875,2722379,3.73133993758783
2024-02-06,BID,BIDV,39886.84375,39886.84375,39232.96182556166,39886.84375,1848154,0.3083211341533776
2024-02-07,BID,BIDV,39886.844424209536,40091.18446068637,39723.3739403368,40009.44921875,2249632,0.30738323021610725
2024-02-15,BID,BIDV,40009.44921875,40254.65494455911,39600.77300906816,40009.44921875,1966976,0.0
2024-02-16,BID,BIDV,40050.31446551336,40050.31446551336,39478.16777828119,39682.5078125,1637130,-0.817160477422374
2024-02-19,BID,BIDV,39845.977644537095,41112.87192824776,39437.2975827665,40295.51953125,3972793,1.5447907719100984
2024-02-20,BID,BIDV,40458.989144199375,41031.135809844985,40377.25390625,40377.25390625,1898853,0.2028373773332648
2024-02-21,BID,BIDV,40663.33203125,40704.19772146365,39968.58052817086,40663.33203125,2239589,0.7085130793298422
2024-02-22,BID,BIDV,40704.19772146365,40785.93296516284,40458.99199036605,40663.33203125,1931402,0.0
2024-02-23,BID,BIDV,40704.19585768157,43483.197879480016,40295.51965789823,42502.375,8691309,4.522607658754296
2024-02-26,BID,BIDV,43156.25867869455,44545.76167786552,42502.376732389086,43810.140625,2484130,3.0769236425023383
2024-02-27,BID,BIDV,43891.87323114109,44137.078946272995,43319.7265625,43319.7265625,2810467,-1.1194076428509558
2024-02-28,BID,BIDV,43483.1970808121,44790.964759370385,42747.579934713365,44055.34375,3621651,1.698111336041519
2024-02-29,BID,BIDV,44055.34370789569,44137.078946272995,43319.7265625,43319.7265625,2102133,-1.6697570030877351
2024-03-01,BID,BIDV,43564.9357601777,44382.28820928919,42829.31855597736,43728.40625,1780031,0.9434032020270822
2024-03-04,BID,BIDV,43810.14149491115,44545.76256238345,42911.05380088851,43728.40625,2863344,0.0
2024-03-05,BID,BIDV,43728.40623357596,44464.0234375,43237.99476429326,44464.0234375,1925594,1.6822410203893412
2024-03-06,BID,BIDV,44137.082457978206,44790.96828029376,43728.40623357596,44464.0234375,1918213,0.0
2024-03-07,BID,BIDV,44464.02124306217,44464.02124306217,43483.19835290344,43564.93359375,2571492,-2.0220613751110283
2024-03-08,BID,BIDV,43646.66833024805,43646.66833024805,40540.725350696935,41766.7578125,3400947,-4.127576086809359
2024-03-11,BID,BIDV,42338.905808009025,42829.317262667035,41276.34765625,41276.34765625,1789227,-1.1741638133645815
2024-03-12,BID,BIDV,41358.081640606644,42584.110239956666,41276.34640064997,42502.375,1887721,2.970290283337018
2024-03-13,BID,BIDV,42665.84808272841,42992.7890625,42338.907102956815,42992.7890625,1933338,1.153850961269809
2024-03-14,BID,BIDV,43728.406284563556,43728.406284563556,42011.96614007274,42257.171875,1793704,-1.7110245777044342
2024-03-15,BID,BIDV,42175.43619149466,43156.25912100534,41685.02472673931,42665.84765625,1734777,0.9671157891467441
2024-03-18,BID,BIDV,42502.375,43156.256919653344,40785.93109763823,42502.375,1792010,-0.38314639279422025
2024-03-19,BID,BIDV,42584.10978920754,42584.10978920754,41685.022159200955,42175.43359375,926013,-0.7692309106255846
2024-03-20,BID,BIDV,42175.433225217814,43401.4618008773,41276.34560306752,43319.7265625,3790446,2.713174166203647
2024-03-21,BID,BIDV,43483.1970392546,43646.6675160092,43156.2560857454,43319.7265625,2280487,0.0
2024-03-22,BID,BIDV,43564.933613300826,46343.93566660281,43564.933613300826,44300.55078125,5277052,2.264151453806851
2024-03-25,BID,BIDV,44300.54942302759,45363.11138520413,43074.520847368105,43319.7265625,1560658,-2.2140226282810205
2024-03-26,BID,BIDV,43319.7265625,44055.34370789569,43319.7265625,43319.7265625,1705495,0.0
2024-03-27,BID,BIDV,43564.932694525705,43564.932694525705,42911.05078125,42911.05078125,1978955,-0.9433941847725613
2024-03-28,BID,BIDV,43483.20053215739,44055.34724675767,42911.0538175571,42992.7890625,1644027,0.1904830568393301
2024-03-29,BID,BIDV,43483.19699626133,43483.19699626133,42502.37413670351,42584.109375,2194093,-0.9505772861255646
2024-04-01,BID,BIDV,42665.84461329648,43074.520804778906,42257.16842181406,42584.109375,1679359,0.0
2024-04-02,BID,BIDV,42420.640625,42829.31683311625,42093.699658507,42420.640625,1907323,-0.38387265202726173
2024-04-03,BID,BIDV,42502.37585347974,42747.58157827366,41685.0234375,41685.0234375,2238863,-1.7341020235947968
2024-04-04,BID,BIDV,42338.90537028379,42338.90537028379,41685.0234375,41685.0234375,1323135,0.0
2024-04-05,BID,BIDV,41603.28726034129,41603.28726034129,41031.13671875,41031.13671875,2127543,-1.5686370423430351
2024-04-08,BID,BIDV,41031.1393541694,42175.43664757818,40867.668864149855,41521.5546875,1760308,1.1952336882879777
2024-04-09,BID,BIDV,41766.75954482552,43074.5234375,41521.55381494906,43074.5234375,2663210,3.740150776356943
2024-04-10,BID,BIDV,43156.256919653344,43156.256919653344,42420.639760043334,42502.375,1498222,-1.3282757227254582
2024-04-11,BID,BIDV,42093.69798684052,43646.6675160092,41930.22751008592,43319.7265625,2754444,1.9230726812325294
2024-04-12,BID,BIDV,43319.72701184949,44545.75946349809,43156.25653339924,43646.66796875,4082661,0.7547171512689577
2024-04-15,BID,BIDV,43564.933462374574,44545.76021284727,40622.4609375,40622.4609375,3075215,-6.928838264160875
2024-04-16,BID,BIDV,40622.45966550558,41848.49209938826,40418.12350203956,41112.87109375,2843379,1.2072389139705875
2024-04-17,BID,BIDV,41603.289942865245,41685.025187895364,39232.96397371988,39314.69921875,2387572,-4.373744346143116
2024-04-19,BID,BIDV,39151.228487516164,40458.992399942144,38497.34653130317,39519.03515625,2625700,0.5197443743955921
2024-04-22,BID,BIDV,39886.84420443194,40949.40234375,39886.84420443194,40949.40234375,1571669,3.6194385359982206
2024-04-23,BID,BIDV,40213.78343035125,41276.34538696474,39641.63676470564,40377.25390625,3682393,-1.3972082735105529
2024-04-24,BID,BIDV,40418.12606268158,41194.6089416259,40336.390819462606,40867.66796875,1999888,1.2145800297332476
2024-04-25,BID,BIDV,40663.33135765378,41112.87325891667,40295.52083546429,40540.7265625,1274856,-0.8000001529326339
2024-04-26,BID,BIDV,40540.72612207917,40949.40232936564,40132.049914792704,40213.78515625,937145,-0.806451768312455
2024-05-02,BID,BIDV,40295.52039770729,40622.461363536466,39927.713742785374,40213.78515625,2077086,0.0
